kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_time0bk,koi_prad,koi_ror,koi_dor,koi_impact,koi_incl,koi_srad,koi_smass,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_vet_stat,koi_vet_date,koi_disp_prov,koi_period_err1,koi_period_err2,koi_duration_err1,koi_duration_err2,koi_depth_err1,koi_depth_err2,koi_prad_err1,koi_prad_err2,koi_steff_err1,koi_steff_err2
5440651,K05168.01,FALSE POSITIVE,0.1742,0.502807253,1.01493,4658.7,131.6152743,26.81,0.343343,2.26,1.2503,56.15,0.715,0.684,5109.0,4.564,-0.44,15.341,0,1,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,5.1e-08,-5.1e-08,0.00637,-0.00637,17.9,-17.9,5.1,-2.59,167.0,-140.0
5443320,K05169.01,CANDIDATE,0.991,21.3684341,1.18,492.8,143.72266,1.72,0.020049,140.9,0.063,89.97,0.786,0.736,5204.0,4.515,-0.26,15.47,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0001335,-0.0001335,0.172,-0.172,78.3,-78.3,0.19,-0.21,153.0,-153.0
5446961,K05170.01,FALSE POSITIVE,0.4065,149.526152,3.033,753.0,196.8608,1.69,0.024631,349.0,0.4364,89.95,0.628,0.631,3978.0,4.642,0.32,15.345,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.002285,-0.002285,0.41,-0.41,133.0,-133.0,0.09,-0.2,134.0,-157.0
5467126,K05171.01,FALSE POSITIVE,0.0,2.845736321,11.5703,3127.0,134.280263,402.16,0.36269,1.542,1.294,32.93,10.154,2.093,4878.0,2.745,0.0,12.367,0,1,1,1,Done,2018-08-16,q1_q17_dr25_sup_koi,3.194e-06,-3.194e-06,0.0545,-0.0545,12.7,-12.7,111.6,-148.8,57.0,-94.0
6511182,K05288.01,CANDIDATE,0.994,29.5632952,1.562,532.8,158.22504,1.9,0.021017,146.0,0.154,89.94,0.828,0.913,5595.0,4.562,-0.12,15.684,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.000217,-0.000217,0.179,-0.179,63.7,-63.7,0.51,-0.16,169.0,-152.0
6517064,K05289.01,CANDIDATE,0.28700000000000003,181.81214,16.164,474.6,144.6702,2.04,0.02023,81.7,0.3694,89.95,0.925,1.008,6060.0,4.509,-0.22,14.94,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.008056,-0.008056,0.949,-0.949,42.3,-42.3,0.83,-0.18,154.0,-189.0
6517200,K05290.01,CANDIDATE,0.1062,435.50635,34.16,553.8,267.6857,2.06,0.021393,98.5,0.1452,89.95,0.882,0.98,5750.0,4.538,-0.04,15.667,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.03899,-0.03899,2.1,-2.1,65.9,-65.9,0.72,-0.15,161.0,-164.0
6517255,K05291.01,CANDIDATE,0.2843,525.560452,2.327,1196.0,440.33369,12.74,0.030724,1772.0,0.0878,89.95,3.796,1.343,4954.0,3.408,0.04,13.795,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.005155,-0.005155,0.443,-0.443,166.0,-166.0,6.86,-3.59,110.0,-130.0
6522124,K05292.01,FALSE POSITIVE,0.19749999999999998,43.60012467,1.48,44992.590000000004,163.4367382,39.910000000000004,0.2718419,11.2137,0.9557,85.10499999999999,1.1236,0.8705,5586.9,4.2812,-0.08600000000000001,15.385,1,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0021544999999999997,-0.002152,0.34009999999999996,-0.34009999999999996,123.4,-122.9,11.594999999999999,-7.9590000000000005,178.9,-173.2
6525196,K05293.01,FALSE POSITIVE,0.0,1.710299164,3.92227,157270.0,131.6153344,57.97,0.527663,4.317,0.878,78.26,1.006,0.896,6082.0,4.385,-0.48,10.154,0,1,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,8.5e-08,-8.5e-08,0.00115,-0.00115,30.2,-30.2,7.6,-6.86,79.0,-85.0
